Corriente_Diodo,Voltaje_Diodo
0.00,0.00
0.00,0.00
0.00,0.01
0.00,0.05
0.00,0.07
0.00,0.15
0.00,0.20
0.00,0.23
0.00,0.26
0.00,0.32
0.00,0.36
0.00,0.41
0.00,0.45
0.00,0.48
0.00,0.55
0.00,0.62
0.00,0.66
0.00,0.68
0.00,0.69
0.00,0.77
0.00,0.83
0.00,0.87
0.00,0.93
0.00,0.96
0.00,1.00
0.00,1.05
0.00,1.09
0.00,1.16
0.00,1.19
0.00,1.22
0.00,1.28
0.00,1.31
0.00,1.39
0.00,1.43
0.00,1.47
0.00,1.50
0.00,1.55
0.00,1.60
0.00,1.65
0.00,1.71
0.00,1.75
0.00,1.80
0.00,1.85
0.00,1.89
0.00,1.93
0.00,1.97
0.00,2.02
0.00,2.06
0.00,2.12
0.00,2.17
0.00,2.22
0.00,2.26
0.00,2.31
0.00,2.35
0.00,2.40
0.00,2.44
0.00,2.48
0.00,2.53
0.00,2.58
0.00,2.62
0.00,2.67
0.00,2.73
0.00,2.75
0.00,2.81
0.00,2.85
0.00,2.90
0.00,2.95
0.00,3.00
0.00,3.05
0.00,3.09
0.00,3.14
0.00,3.18
0.00,3.22
0.00,3.27
0.00,3.34
0.00,3.39
0.00,3.43
0.00,3.46
0.00,3.52
0.00,3.57
0.00,3.63
0.00,3.67
0.00,3.72
0.00,3.76
0.00,3.81
0.00,3.85
0.00,3.90
0.00,3.96
0.00,3.99
0.00,4.04
0.00,4.08
0.01,4.12
0.05,4.12
0.07,4.13
0.11,4.15
0.15,4.15
0.18,4.19
0.22,4.21
0.26,4.21
0.30,4.23
0.35,4.19
0.37,4.22
0.41,4.23
0.46,4.23
0.48,4.26
0.53,4.25
0.56,4.27
0.60,4.27
0.64,4.28
0.68,4.27
0.71,4.32
0.77,4.31
0.79,4.33
0.84,4.34
0.88,4.34
0.92,4.35
0.97,4.34
1.00,4.36
1.05,4.35
1.09,4.36
1.14,4.36
1.17,4.38
1.22,4.37
1.25,4.38
1.29,4.38
1.33,4.39
1.36,4.40
1.39,4.43
1.50,4.42
1.55,4.40
1.60,4.40
1.64,4.40
1.70,4.39
1.74,4.40
1.78,4.39
1.81,4.42
1.87,4.40
1.91,4.42
1.93,4.42
1.98,4.42
2.02,4.43
2.06,4.44
2.11,4.44
2.16,4.43
2.20,4.45
2.24,4.47
2.29,4.45
2.32,4.47
2.38,4.45
2.42,4.45
2.47,4.44
2.51,4.46
2.55,4.47
2.60,4.46
2.64,4.45
2.66,4.49
2.73,4.47
2.78,4.45
2.83,4.45
2.85,4.47
2.92,4.47
2.96,4.47
3.00,4.48
3.05,4.48
3.10,4.49
3.13,4.49
3.17,4.47
3.21,4.49
3.26,4.47
3.30,4.49
3.38,4.46
3.41,4.48
3.45,4.47
3.51,4.46
3.53,4.48
3.59,4.47
3.64,4.47
3.69,4.47
3.75,4.46
3.78,4.47
3.81,4.45
3.87,4.50
3.89,4.52
3.95,4.49
3.99,4.51
4.05,4.48
4.10,4.50
4.13,4.51
4.18,4.50
4.22,4.50
4.25,4.53
4.32,4.51
4.35,4.52
4.39,4.54
4.44,4.53
4.49,4.55
4.53,4.55
4.59,4.53
4.63,4.53
4.68,4.53
4.71,4.53
4.75,4.55
4.80,4.55
4.86,4.55
4.90,4.56
4.95,4.56
4.95,4.61
5.04,4.58
5.08,4.59
5.14,4.59
5.18,4.60
5.23,4.61
5.26,4.62
5.32,4.65
5.36,4.66
5.40,4.66
5.43,4.70
5.50,4.68
5.52,4.74
5.58,4.73
5.62,4.75
5.65,4.79
5.70,4.79
5.76,4.80
5.81,4.84
5.85,4.87
5.89,4.89
5.94,4.91
5.98,4.95
6.04,4.96
6.06,5.01
6.11,5.04
6.16,5.06
6.20,5.11
6.25,5.13
6.28,5.19
6.33,5.18
6.37,5.26
6.42,5.30
6.45,5.34
6.51,5.39
6.55,5.40
6.59,5.45
6.64,5.52
6.69,5.54
6.73,5.59
6.76,5.66
6.81,5.67
6.84,5.72
6.86,5.78
6.90,5.85
6.94,5.86
6.97,5.93
7.00,5.99
7.02,5.99
7.04,6.01
7.04,5.98
7.02,5.94
6.97,5.94
6.94,5.89
6.91,5.83
6.87,5.77
6.84,5.72
6.81,5.70
6.77,5.63
6.73,5.59
6.69,5.54
6.63,5.50
6.59,5.47
6.55,5.42
6.52,5.35
6.46,5.34
6.44,5.28
6.37,5.25
6.33,5.21
6.30,5.17
6.24,5.11
6.20,5.10
6.16,5.05
6.11,5.02
6.08,4.98
6.04,4.97
5.98,4.95
5.95,4.91
5.90,4.89
5.85,4.88
5.82,4.84
5.75,4.82
5.71,4.76
5.67,4.76
5.62,4.75
5.58,4.72
5.55,4.73
5.48,4.70
5.44,4.69
5.40,4.67
5.35,4.67
5.32,4.65
5.27,4.61
5.21,4.63
5.18,4.59
5.15,4.59
5.11,4.55
5.04,4.58
4.95,4.60
4.95,4.58
4.89,4.57
4.84,4.56
4.80,4.56
4.75,4.55
4.70,4.55
4.68,4.54
4.62,4.54
4.58,4.54
4.54,4.52
4.49,4.53
4.45,4.53
4.41,4.52
4.37,4.51
4.32,4.48
4.28,4.50
4.23,4.49
4.17,4.50
4.13,4.49
4.08,4.50
4.06,4.49
3.99,4.53
3.96,4.50
3.90,4.51
3.87,4.48
3.82,4.43
3.77,4.49
3.73,4.48
3.70,4.46
3.62,4.49
3.60,4.49
3.55,4.45
3.51,4.45
3.46,4.46
3.43,4.46
3.37,4.47
3.35,4.45
3.26,4.47
3.22,4.50
3.17,4.49
3.14,4.47
3.08,4.50
3.05,4.48
3.03,4.45
2.94,4.49
2.92,4.47
2.87,4.45
2.82,4.46
2.77,4.46
2.72,4.47
2.69,4.46
2.63,4.47
2.58,4.48
2.54,4.48
2.52,4.45
2.47,4.45
2.42,4.46
2.38,4.45
2.33,4.46
2.29,4.46
2.25,4.46
2.21,4.45
2.15,4.43
2.11,4.43
2.07,4.43
2.02,4.43
1.98,4.43
1.93,4.43
1.87,4.45
1.86,4.41
1.77,4.47
1.77,4.42
1.71,4.43
1.70,4.39
1.64,4.41
1.60,4.40
1.52,4.43
1.51,4.41
1.40,4.43
1.39,4.36
1.33,4.39
1.29,4.38
1.25,4.39
1.22,4.36
1.17,4.36
1.13,4.36
1.09,4.36
1.05,4.35
1.02,4.33
0.98,4.33
0.93,4.33
0.89,4.32
0.84,4.34
0.81,4.32
0.75,4.33
0.72,4.31
0.75,4.21
0.61,4.30
0.61,4.26
0.57,4.25
0.53,4.25
0.46,4.27
0.46,4.23
0.41,4.23
0.37,4.22
0.33,4.23
0.30,4.21
0.26,4.20
0.22,4.19
0.20,4.17
0.14,4.17
0.11,4.15
0.10,4.12
0.05,4.13
0.02,4.12
0.00,4.09
0.00,4.03
0.00,3.98
0.00,3.96
0.00,3.91
0.00,3.85
0.00,3.80
0.00,3.76
0.00,3.72
0.00,3.66
0.00,3.61
0.00,3.56
0.00,3.52
0.00,3.49
0.00,3.43
0.00,3.39
0.00,3.34
0.00,3.28
0.00,3.23
0.00,3.20
0.00,3.14
0.00,3.08
0.00,3.05
0.00,2.99
0.00,2.94
0.00,2.91
0.00,2.85
0.00,2.81
0.00,2.76
0.00,2.72
0.00,2.68
0.00,2.62
0.00,2.57
0.00,2.53
0.00,2.48
0.00,2.44
0.00,2.39
0.00,2.33
0.00,2.31
0.00,2.26
0.00,2.22
0.00,2.16
0.00,2.12
0.00,2.07
0.00,2.01
0.00,1.98
0.00,1.93
0.00,1.88
0.00,1.85
0.00,1.80
0.00,1.75
0.00,1.70
0.00,1.65
0.00,1.60
0.00,1.57
0.00,1.50
0.00,1.47
0.00,1.42
0.00,1.38
0.00,1.33
0.00,1.28
0.00,1.22
0.00,1.19
0.00,1.14
0.00,1.09
0.00,1.04
0.00,1.01
0.00,0.96
0.00,0.92
0.00,0.88
0.00,0.82
0.00,0.78
0.00,0.74
0.00,0.68
0.00,0.64
0.00,0.60
0.00,0.55
0.00,0.49
0.00,0.46
0.00,0.41
0.00,0.36
0.00,0.31
0.00,0.26
0.00,0.24
0.00,0.19
0.00,0.15
0.00,0.12
0.00,0.05
0.00,0.01
0.00,0.00
0.00,0.00

